month,Estimated,Realized
7/1/2009,8.433038674,3.684279981
8/1/2009,9.765469256,4.153052485
9/1/2009,10.01708709,4.715585451
10/1/2009,10.73170259,4.705162584
11/1/2009,10.45306843,4.851140502
12/1/2009,10.84002283,4.852687365
1/1/2010,9.690248756,4.666338697
2/1/2010,9.770331633,4.468457414
3/1/2010,9.86766129,4.933280704
4/1/2010,10.20512059,5.324676043
5/1/2010,10.17299127,5.676575278
6/1/2010,10.37227364,5.54306967
7/1/2010,10.22380645,5.843070316
8/1/2010,10.90251852,6.653236779
9/1/2010,10.45989744,7.100013483
10/1/2010,10.54141612,6.924644958
11/1/2010,11.13059406,7.375210531
12/1/2010,11.50814583,6.870979925
1/1/2011,11.19333333,6.712557177
2/1/2011,9.964087363,6.224955383
3/1/2011,10.70619621,6.644281182
4/1/2011,10.73736138,6.394199506
5/1/2011,11.73571675,7.004097024
6/1/2011,11.97660377,6.705314775
7/1/2011,12.24493997,6.727225921
8/1/2011,12.57417518,6.771183684
9/1/2011,12.35627365,7.259255206
10/1/2011,11.79015476,7.112914808
11/1/2011,11.50240268,6.801869456
12/1/2011,11.07568475,6.619719648
1/1/2012,10.76304726,6.535948762
2/1/2012,10.51187583,7.025770138
3/1/2012,10.9062358,7.287880338
4/1/2012,11.32020888,7.519950115
5/1/2012,11.51942416,7.429024882
6/1/2012,11.08923169,7.292595583
7/1/2012,11.22914248,7.888998051
8/1/2012,11.14610583,7.418478175
9/1/2012,11.21907087,8.134155345
10/1/2012,10.30592857,8.181434085
11/1/2012,9.801852679,7.522158367
12/1/2012,9.26611465,7.726634871
1/1/2013,9.243809524,7.884680265
2/1/2013,8.758442623,6.94131062
3/1/2013,9.359648438,7.423031949
4/1/2013,9.650178571,7.065937179
5/1/2013,10.00381625,7.571388022
6/1/2013,9.9878875,8.45595707
7/1/2013,9.605341991,8.545395411
8/1/2013,9.235762195,7.747895449
9/1/2013,8.94148,8.348250625
10/1/2013,8.697621951,8.148681313
11/1/2013,8.492828571,8.634712515
